0019CJENKINS       SAMUEL        20050225000307500000000000
0125SCAMERON       STANLEY       19980315000307500011685650
0540MWESTON        CATHERINE     20180516000110950000000000
0133STHURMAN       MARCO         19980702000209000008566545
0176SJENNINGS      JADWIGA       20090217000308000006646490
0457SELDOUR        JOHNATHAN     20180516000208000010846510
0402SKENT          LORENE        19970305000109000010516550
0155SNGUYEN        CARMELO       20180406000208000016315350
0045MZLOTOWSKI     RONALD        19950704000113500000000000
0278CBELFOUR       NICOLETTE     20080805000107500000000000
0062SLI            EUGENE        19920909000309000007984500
0043SLINDEN        PATRICK       20180208000208000006789500
0132ASLOAN         FATIMA        19960318000109000000000000
0029CELETARIO      RICKEY        20140601000308000000000000
0054SSRIVASTAVA    SAM           19980808000309000010456400
0155SJOHNSON       GENE          20080419000108000008745600
0079SCHARLES       DENISE        19970209000109000007965400
0084MBISHOP        KIETH         20180706000209870000000000
0119STAM           JACK          20050505000109000008798500
0036SPICCOLO       HEATHER       19950414000109000005649800
0022ARZYC          MARAGRET      19980315000309000000000000
0035SPETOZA        NOAH          20180913000208000005645600
0169MBRONSON       ALAINA        20060625000214150000000000
0072SALPHONSE      MIGUEL        20180511000208000009454600
0099SMIKO          CAROLE        19980412000109000009879800
0105CKRUK          KARLYN        20080519000207500000000000
0089SSTASY         THADDEUS      20140823000308000007898550
0140CAUBERT        HIEDI         20080925000107500000000000
0031SLABRIE        ARMAND        19980426000309000010165800
0456SCHU           LARISA        20150404000108000014516500
0065SSANCHEZ       ELINOR        20180215000208000008646900
0379MBOROKOWSKI    BORIS         20080513000311500000000000
0278SAL BHOUZ      DAWNA         20130814000108000003715600
0135SFORLINI       COREEN        19980513000209000010057850
0358SRABISI        STUART        20080516000308000009846500
0267MLU            AMELIA        19980305000312750000000000
0173ADHAOUD        ARRON         20100301000208000000000000
0014SESTERA        BETHANY       20180304000308000018975450
0376CTOMASSI       JERRY         20190226000207500000000000
